Execution_Kind,Problem_Size,Exe_Time
Sequential,2000,25430
ParaTask,2000,6631
Modified_ParaTask,2000,6464
Sequential,2000,25384
ParaTask,2000,6540
Modified_ParaTask,2000,6608
Sequential,2000,25369
ParaTask,2000,6592
Modified_ParaTask,2000,6597
Sequential,2000,25435
ParaTask,2000,6601
Modified_ParaTask,2000,6594
Sequential,4000,50733
ParaTask,4000,12917
Modified_ParaTask,4000,12898
Sequential,4000,50695
ParaTask,4000,12900
Modified_ParaTask,4000,12906
Sequential,4000,50755
ParaTask,4000,12949
Modified_ParaTask,4000,12908
Sequential,4000,50813
ParaTask,4000,12957
Modified_ParaTask,4000,12891
Sequential,6000,76150
ParaTask,6000,19165
Modified_ParaTask,6000,19188
Sequential,6000,76084
ParaTask,6000,19236
Modified_ParaTask,6000,19203
Sequential,6000,76038
ParaTask,6000,19248
Modified_ParaTask,6000,19216
Sequential,6000,76164
ParaTask,6000,19224
Modified_ParaTask,6000,19207
Sequential,8000,101546
ParaTask,8000,26182
Modified_ParaTask,8000,26099
Sequential,8000,101509
ParaTask,8000,26102
Modified_ParaTask,8000,26105
Sequential,8000,101568
ParaTask,8000,26207
Modified_ParaTask,8000,26167
Sequential,8000,101553
ParaTask,8000,26139
Modified_ParaTask,8000,26113
Sequential,10000,126669
ParaTask,10000,35671
Modified_ParaTask,10000,35621
Sequential,10000,126511
ParaTask,10000,35315
Modified_ParaTask,10000,35403
Sequential,10000,126607
ParaTask,10000,35302
Modified_ParaTask,10000,35361
Sequential,10000,126433
ParaTask,10000,37115
Modified_ParaTask,10000,36946
